List1	List2	Similarity
{'дамдам', 'далдаму', 'давдаву', 'давдуву', 'далдам', 'далдабу', 'дамдаму', 'дабдуву', 'дабдабу', 'ДАЛДАМ'}	{'далдаму', 'далдам', 'ДАЛДАМ'}	DIFFERENT
{'bat'}	{'бадбад', 'battah', 'бядбяд подтвердил', 'бад', 'bat', 'бадбад(гусь)', 'бадбаду', 'баьдбаьд', 'бедбед', 'бядбадв', 'бядбяд', 'баъдбаъд', 'бядбяда', 'бадабад(индюшка)', 'бядбядя', 'бядбяд когда подзывают'}	DIFFERENT
{'battah'}	{'бадбад', 'battah', 'бядбяд подтвердил', 'бад', 'bat', 'бадбад(гусь)', 'бадбаду', 'баьдбаьд', 'бедбед', 'бядбадв', 'бядбяд', 'баъдбаъд', 'бядбяда', 'бадабад(индюшка)', 'бядбядя', 'бядбяд когда подзывают'}	DIFFERENT
{'уьрдек', 'уьрдег', 'уьрдэк', 'уьрдек бадбад не летает', 'урдык', 'ordak', 'ördek', 'уьрдаг', 'ördägi', 'ордек', 'уьрдег(п: утка и индюшка)', 'уьрдяг', 'ördək', 'оьрдек', 'ördag', 'оьрдег', 'OIрдаг', 'uˤrdek', 'ордок', 'уьрдег кучIлин хабар', 'ordək', 'урдег', 'урдаг', 'уьрдег подтвердил', 'уьрдек летает', 'урдек'}	{'уьрдек', 'уьрдег', 'уьрдэк', 'уьрдек бадбад не летает', 'урдык', 'ordak', 'ördek', 'уьрдаг', 'ördägi', 'ордек', 'уьрдег(п: утка и индюшка)', 'уьрдяг', 'ördək', 'оьрдек', 'ördag', 'оьрдег', 'OIрдаг', 'uˤrdek', 'ордок', 'ordək', 'урдег', 'урдаг', 'уьрдег подтвердил', 'уьрдек летает', 'урдек'}	DIFFERENT
{'бабущ', 'бабиш', 'бабуше'}	{'бадещи', 'бадущи', 'бабиш', 'бабуше', 'бабущ'}	DIFFERENT
{'бадбад', 'бадещи', 'бадущи', 'бядбяд подтвердил', 'бад', 'бадбад(гусь)', 'пятпят', 'бадбаду', 'баьдбаьд', 'бедбед', 'бядбадв', 'бядбяд', 'баъдбаъд', 'бядбяда', 'бадабад(индюшка)', 'бядбядя', 'бядбяд когда подзывают'}	{'бадбад', 'battah', 'бядбяд подтвердил', 'бад', 'bat', 'бадбад(гусь)', 'бадбаду', 'баьдбаьд', 'бедбед', 'бядбадв', 'бядбяд', 'баъдбаъд', 'бядбяда', 'бадабад(индюшка)', 'бядбядя', 'бядбяд когда подзывают'}	DIFFERENT
{'бадбад', 'бадещи', 'бадущи', 'бядбяд подтвердил', 'бад', 'бадбад(гусь)', 'пятпят', 'бадбаду', 'баьдбаьд', 'бедбед', 'бядбадв', 'бядбяд', 'баъдбаъд', 'бядбяда', 'бадабад(индюшка)', 'бядбядя', 'бядбяд когда подзывают'}	{'бадещи', 'бадущи', 'бабиш', 'бабуше', 'бабущ'}	DIFFERENT
{'къаз', 'къарни(летающие)', 'къваз', 'хъаз'}	{'къаз', 'къваз', 'хъаз'}	DIFFERENT
{'къаз', 'къарни(летающие)', 'къваз', 'хъаз'}	{'къарни(летающие)'}	DIFFERENT
{'п1ат1'}	{'п1ат1', 'пятпят'}	DIFFERENT
{'бадбад', 'бадещи', 'бадущи', 'бядбяд подтвердил', 'бад', 'бадбад(гусь)', 'пятпят', 'бадбаду', 'баьдбаьд', 'бедбед', 'бядбадв', 'бядбяд', 'баъдбаъд', 'бядбяда', 'бадабад(индюшка)', 'бядбядя', 'бядбяд когда подзывают'}	{'п1ат1', 'пятпят'}	DIFFERENT
{'уьрдек', 'уьрдег', 'уьрдэк', 'уьрдек бадбад не летает', 'урдык', 'ordak', 'ördek', 'уьрдаг', 'ördägi', 'ордек', 'уьрдег(п: утка и индюшка)', 'уьрдяг', 'ördək', 'оьрдек', 'ördag', 'оьрдег', 'OIрдаг', 'uˤrdek', 'ордок', 'уьрдег кучIлин хабар', 'ordək', 'урдег', 'урдаг', 'уьрдег подтвердил', 'уьрдек летает', 'урдек'}		NOT IN LIST 2
{'pax', 'pak'}	{'пох', 'пягь', 'пякъ', 'pax', 'pak'}	DIFFERENT
{'пох'}	{'пох', 'пягь', 'пякъ', 'pax', 'pak'}	DIFFERENT
{'пягь', 'пякъ'}	{'пох', 'пягь', 'пякъ', 'pax', 'pak'}	DIFFERENT
{'halqah'}	{'halqah', 'гьалкьа1', 'гьалкъалар'}	DIFFERENT
{'sirʁa', 'сергъи', 'сиргъа', 'сережка', 'зерьга', 'сиргъи п', 'сиргъи', 'сиргъи подтвердил', 'сиргъи - другие', 'серьгъа', 'зиргъе', 'сирги', 'зирьгъе', 'сиргъя', 'серьга', 'sırğa', 'сигърияр', 'сиргъи тоже есть', 'сыргъалар'}	{'sırğa', 'sirʁa'}	DIFFERENT
{'абыр', 'аъадбыр'}	{'абыр'}	DIFFERENT
{'абыр', 'аъадбыр'}	{'аъадбыр'}	DIFFERENT
{'гьалкьа1', 'гьалкъалар'}	{'halqah', 'гьалкьа1', 'гьалкъалар'}	DIFFERENT
{'sirʁa', 'сергъи', 'сиргъа', 'сережка', 'зерьга', 'сиргъи п', 'сиргъи', 'сиргъи подтвердил', 'сиргъи - другие', 'серьгъа', 'зиргъе', 'сирги', 'зирьгъе', 'сиргъя', 'серьга', 'sırğa', 'сигърияр', 'сиргъи тоже есть', 'сыргъалар'}	{'сергъи', 'сиргъи п', 'зирьгъе', 'сиргъя', 'серьга', 'сиргъа', 'сиргъи', 'сигърияр', 'сережка', 'сиргъи подтвердил', 'серьгъа', 'зиргъе', 'сирги', 'сыргъалар', 'зерьга', 'сиргъи тоже есть'}	DIFFERENT
{'иба к1итруд', 'ибагнар'}	{'иба к1итруд'}	DIFFERENT
{'иба к1итруд', 'ибагнар'}	{'ибагнар'}	DIFFERENT
{'ибарик кахьрудар', 'ибари ккит1рудар', 'ибарик1 к1итрудар', 'ибали к1итрудар', 'ибак1итрудр', 'ибарик китрудар', 'ибак кипт1руб'}	{'ибари ккит1рудар', 'ибарик1 к1итрудар', 'ибали к1итрудар', 'ибак1итрудр', 'ибарик китрудар', 'ибак кипт1руб'}	DIFFERENT
{'ибари ккахруб', 'ибарикк ккахру', 'ибарик ккахьрудар'}	{'ибари ккахруб', 'ибарик кахьрудар', 'ибарикк ккахру', 'ибарик ккахьрудар'}	DIFFERENT
{'ибарик кахьрудар', 'ибари ккит1рудар', 'ибарик1 к1итрудар', 'ибали к1итрудар', 'ибак1итрудр', 'ибарик китрудар', 'ибак кипт1руб'}	{'ибари ккахруб', 'ибарик кахьрудар', 'ибарикк ккахру', 'ибарик ккахьрудар'}	DIFFERENT
{'но', 'на'}		NOT IN LIST 2
{'sirʁa', 'сергъи', 'сиргъа', 'сережка', 'зерьга', 'сиргъи п', 'сиргъи', 'сиргъи подтвердил', 'сиргъи - другие', 'серьгъа', 'зиргъе', 'сирги', 'зирьгъе', 'сиргъя', 'серьга', 'sırğa', 'сигърияр', 'сиргъи тоже есть', 'сыргъалар'}		NOT IN LIST 2
{'халхалаг', 'халхад?', 'халхалагбыр'}		NOT IN LIST 2
{'халхалаг', 'халхад?', 'халхалагбыр'}	{'халхалаг', 'халхалагбыр'}	DIFFERENT
{'эпен'}	{'япагъанар', 'эпен', 'япагънар', 'япак1ан', 'япагъан'}	DIFFERENT
{'япагънар', 'япагъанар', 'япак1ан', 'япагъан'}	{'япагъанар', 'эпен', 'япагънар', 'япак1ан', 'япагъан'}	DIFFERENT
{'yumurta', 'yumurta podtv'}	{'юмурту', 'йуьмурта', 'юмурта', 'йымырткъа', 'yumurta', 'мурта', 'yumurta podtv'}	DIFFERENT
{'гуггу', 'гугу'}	{'гуггу', 'кьукь', 'гугу', 'куку'}	DIFFERENT
{'гъулугъ'}	{'гъылыгъ', 'гъулугъ'}	DIFFERENT
{'гъылыгъ'}	{'гъылыгъ', 'гъулугъ'}	DIFFERENT
{'юмурту', 'йуьмурта', 'юмурта', 'йымырткъа', 'мурта'}	{'юмурту', 'йуьмурта', 'юмурта', 'йымырткъа', 'yumurta', 'мурта', 'yumurta podtv'}	DIFFERENT
{'к1укь', 'кьукь', 'к1ук1'}	{'к1укь', 'к1ук1'}	DIFFERENT
{'кану'}	{'хъану', 'кану', 'хоно'}	DIFFERENT
{'куку'}	{'гуггу', 'кьукь', 'гугу', 'куку'}	DIFFERENT
{'к1укь', 'кьукь', 'к1ук1'}	{'гуггу', 'кьукь', 'гугу', 'куку'}	DIFFERENT
{'пелеху'}	{'пелуху', 'пелеху'}	DIFFERENT
{'пелюзув', 'пюлюдзюль', 'пелизю', 'пелюдзю', 'пелюдзу'}	{'пелюзув', 'пюлюдзюль', 'пялюхю', 'пелизю', 'пелюдзю', 'пелюдзу'}	DIFFERENT
{'пялюхю', 'пелуху', 'пялях'}	{'пелуху', 'пелеху'}	DIFFERENT
{'пялбхаб', 'х1оа'}	{'пялбхаб', 'пялях'}	DIFFERENT
{'пялюхю', 'пелуху', 'пялях'}	{'пелюзув', 'пюлюдзюль', 'пялюхю', 'пелизю', 'пелюдзю', 'пелюдзу'}	DIFFERENT
{'пялюхю', 'пелуху', 'пялях'}	{'пялбхаб', 'пялях'}	DIFFERENT
{'пялбхаб', 'х1оа'}	{'х1оа'}	DIFFERENT
{'хоно'}	{'хъану', 'кану', 'хоно'}	DIFFERENT
{'хъану'}	{'хъану', 'кану', 'хоно'}	DIFFERENT
{'1) хIикат', '2) хIекаят'}	{'хкет', 'хькет', 'хикет', 'х1икат', 'х1акет', 'хIикаят', '1) хIикат', '2) хIекаят', 'х1якет', 'х1якаят', 'hikaya'}	DIFFERENT
{'hikaya'}	{'хкет', 'хькет', 'хикет', 'х1икат', 'х1акет', 'хIикаят', '1) хIикат', '2) хIекаят', 'х1якет', 'х1якаят', 'hikaya'}	DIFFERENT
{'qessa'}	{'qesseh', 'qessa'}	DIFFERENT
{'qesseh'}	{'qesseh', 'qessa'}	DIFFERENT
{'yalan'}	{'yalan,', 'yalan'}	DIFFERENT
{'yalan,'}	{'yalan,', 'yalan'}	DIFFERENT
{'ма1хв'}	{'макъ', 'махъв', 'МАХ', 'мехв', 'махъ', 'мяхъв', 'мах', 'ма1хв', 'махв'}	DIFFERENT
{'макъ', 'махъв', 'МАХ', 'мехв', 'махъ', 'мяхъв', 'мах', 'махв'}	{'макъ', 'махъв', 'МАХ', 'мехв', 'махъ', 'мяхъв', 'мах', 'ма1хв', 'махв'}	DIFFERENT
{'мугьа'}	{'мугьа', 'муха'}	DIFFERENT
{'муха'}	{'мугьа', 'муха'}	DIFFERENT
{'хкет', 'хькет', 'хикет', 'х1икат', 'х1акет', 'хIикаят', 'х1якет', 'х1якаят'}	{'хкет', 'хькет', 'хикет', 'х1икат', 'х1акет', 'хIикаят', '1) хIикат', '2) хIекаят', 'х1якет', 'х1якаят', 'hikaya'}	DIFFERENT
{'qizan'}	{'хазан', 'хейзан', 'хъизам', 'хъизан', 'qizan', 'хъзан', 'хизана', 'хъызан', 'хизан', 'хъиза', 'хъазан', 'хизан?', 'хизан п', 'хизанар', 'хизан подтвердил'}	DIFFERENT
{'агьлу', 'агьлю'}	{'агьлу', 'агьлю', 'уягьлю'}	DIFFERENT
{'гьакъу', 'гьакъу-къала'}	{'хак1у', 'хьак1у', 'гьакъу', 'гьакъу-къала'}	DIFFERENT
{'уягьлю'}	{'агьлу', 'агьлю', 'уягьлю'}	DIFFERENT
{'хазан'}	{'хазан', 'хейзан', 'хъизам', 'хъизан', 'qizan', 'хъзан', 'хизана', 'хъызан', 'хизан', 'хъиза', 'хъазан', 'хизан?', 'хизан п', 'хизанар', 'хизан подтвердил'}	DIFFERENT
{'хак1у'}	{'хак1у', 'хьак1у', 'гьакъу', 'гьакъу-къала'}	DIFFERENT
{'хейзан', 'хъизам', 'хъизан', 'хъзан', 'хизана', 'хъызан', 'хизан', 'хъиза', 'хъазан', 'хизан?', 'хизан п', 'хизанар', 'хизан подтвердил'}	{'хазан', 'хейзан', 'хъизам', 'хъизан', 'qizan', 'хъзан', 'хизана', 'хъызан', 'хизан', 'хъиза', 'хъазан', 'хизан?', 'хизан п', 'хизанар', 'хизан подтвердил'}	DIFFERENT
{'хьак1у'}	{'хак1у', 'хьак1у', 'гьакъу', 'гьакъу-къала'}	DIFFERENT
{'keçe', 'keča', 'кече', 'keçə podtv', 'kiçə', 'киче', 'keçə'}	{'keçe', 'keča', '*кечаь', 'keçə podtv', 'kiz', 'kiçə', 'keçə'}	DIFFERENT
{'kiz'}	{'keçe', 'keča', '*кечаь', 'keçə podtv', 'kiz', 'kiçə', 'keçə'}	DIFFERENT
{'libd'}	{'lubbad', 'libd'}	DIFFERENT
{'lubbad'}	{'lubbad', 'libd'}	DIFFERENT
{'žižim podtv', 'žižimi', 'žižim podtv?', 'žižim no'}		NOT IN LIST 2
{'žižim podtv', 'žižimi', 'žižim podtv?', 'žižim no'}	{'žižim podtv', 'žižimi'}	DIFFERENT
{'буртина'}	{'бутни', 'буртина'}	DIFFERENT
{'бутни'}	{'бутни', 'буртина'}	DIFFERENT
{'гьюрт'}	{'юрт', 'юрт подтвердил', 'йюрт', 'гьюрт', 'юрч', 'юрк', 'юрч подтвердил'}	DIFFERENT
{'дыныд'}	{'дыныд', 'япанджи', 'япанжи'}	DIFFERENT
{'йун'}	{'юн', 'йун'}	DIFFERENT
{'йюрт'}	{'юрт', 'юрт подтвердил', 'йюрт', 'гьюрт', 'юрч', 'юрк', 'юрч подтвердил'}	DIFFERENT
{'keçe', 'keča', 'кече', 'keçə podtv', 'kiçə', 'киче', 'keçə'}	{'киче', 'кече'}	DIFFERENT
{'лит подтвердил', 'лит', 'лиъ?'}	{'лит подтвердил', 'лит'}	DIFFERENT
{'лит подтвердил', 'лит', 'лиъ?'}		NOT IN LIST 2
{'хай'}	{'хъе', 'хьай', 'хей', 'хай', 'хьа'}	DIFFERENT
{'хьай', 'хъе', 'хьа', 'хей'}	{'хъе', 'хьай', 'хей', 'хай', 'хьа'}	DIFFERENT
{'юн', 'юн(нп - просто шерсть)'}	{'юн', 'йун'}	DIFFERENT
{'юн', 'юн(нп - просто шерсть)'}		NOT IN LIST 2
{'юрт', 'юртар апIру материал', 'юрт подтвердил', 'юрч', 'юрк', 'юрч подтвердил'}	{'юрт', 'юрт подтвердил', 'йюрт', 'гьюрт', 'юрч', 'юрк', 'юрч подтвердил'}	DIFFERENT
{'юрт', 'юртар апIру материал', 'юрт подтвердил', 'юрч', 'юрк', 'юрч подтвердил'}		NOT IN LIST 2
{'япанджи', 'япанжи'}	{'дыныд', 'япанджи', 'япанжи'}	DIFFERENT
{'но это не буза. Буза называется "буза"', 'буза/ха1н', 'буза', 'боза', 'bouða'}	{'bouða'}	DIFFERENT
{'но это не буза. Буза называется "буза"', 'буза/ха1н', 'буза', 'боза', 'bouða'}	{'боза', 'буза/ха1н', 'буза'}	DIFFERENT
{'но это не буза. Буза называется "буза"', 'буза/ха1н', 'буза', 'боза', 'bouða'}		NOT IN LIST 2
{'т1ач подтвердил', 'т1аг', 'т1ач', 'т1ач(п другое)'}	{'т1ач подтвердил', 'т1аг', 'т1ач'}	DIFFERENT
{'т1ач подтвердил', 'т1аг', 'т1ач', 'т1ач(п другое)'}		NOT IN LIST 2
{'ч1аг1а', 'чаъа', 'чIагIа', 'чаг1а', 'ч1ач1а'}	{'чIагIа', 'чаг1а', 'чаъа', 'ч1аг1а'}	DIFFERENT
{'ч1аг1а', 'чаъа', 'чIагIа', 'чаг1а', 'ч1ач1а'}	{'ч1ач1а'}	DIFFERENT
{'удун', 'удунар', 'одун', 'odun', 'ус', 'усбыр', 'удо', 'od'}	{'od'}	DIFFERENT
{'удун', 'удунар', 'одун', 'odun', 'ус', 'усбыр', 'удо', 'od'}	{'удун', 'удунар', 'одун', 'odun', 'удо'}	DIFFERENT
{'гук1лир', 'гак1влир', 'гюк1влир', 'гакIвлар'}	{'как1алир', 'к1ак1лар', 'к1ак1ул', 'как1влир', 'как1лар', 'гюк1влир', 'к1ак1улир', 'гакIвлар', 'гук1лир', 'гак1влир', 'кlакlлар'}	DIFFERENT
{'к1ак1ул', 'к1ак1лар', 'к1ак1улир'}	{'как1алир', 'к1ак1лар', 'к1ак1ул', 'как1влир', 'как1лар', 'гюк1влир', 'к1ак1улир', 'гакIвлар', 'гук1лир', 'гак1влир', 'кlакlлар'}	DIFFERENT
{'к1арасар', 'к1арацар', 'к1арас', 'к1арацсар', 'КIАРАСАР'}	{'кIурар', 'к1арасар', 'к1арацар', 'к1арас', 'к1арацсар', 'к1урар', 'курар', 'КIАРАСАР'}	DIFFERENT
{'к1урар', 'курар', 'кIурар'}	{'кIурар', 'к1арасар', 'к1арацар', 'к1арас', 'к1арацсар', 'к1урар', 'курар', 'КIАРАСАР'}	DIFFERENT
{'кlакlлар'}	{'как1алир', 'к1ак1лар', 'к1ак1ул', 'как1влир', 'как1лар', 'гюк1влир', 'к1ак1улир', 'гакIвлар', 'гук1лир', 'гак1влир', 'кlакlлар'}	DIFFERENT
{'как1лар', 'как1влир', 'как1алир'}	{'как1алир', 'к1ак1лар', 'к1ак1ул', 'как1влир', 'как1лар', 'гюк1влир', 'к1ак1улир', 'гакIвлар', 'гук1лир', 'гак1влир', 'кlакlлар'}	DIFFERENT
{'осбы', 'ос(бы)', 'осби'}	{'осбы', 'ос(бы)', 'усбыр', 'осби', 'ус'}	DIFFERENT
{'урцул'}	{'урцул', 'цIул'}	DIFFERENT
{'удун', 'удунар', 'одун', 'odun', 'ус', 'усбыр', 'удо', 'od'}	{'осбы', 'ос(бы)', 'усбыр', 'осби', 'ус'}	DIFFERENT
{'цIул'}	{'урцул', 'цIул'}	DIFFERENT
{'хвами'}	{'хъва2й', 'хвами'}	DIFFERENT
{'хъва2й'}	{'хъва2й', 'хвами'}	DIFFERENT
{'чич1и', 'чlичl', 'чич', 'чич1'}	{'чич1и', 'чич', 'шич1', 'чич1', 'чlичl'}	DIFFERENT
{'шич1'}	{'чич1и', 'чич', 'шич1', 'чич1', 'чlичl'}	DIFFERENT
{'buzan', 'buzani'}	{'buzan', 'buzani', 'биза'}	DIFFERENT
{'yumuruq', 'юмурукъ', 'yumruq', 'yumuruk', 'юмрух'}	{'yumuruq', 'йумругъ', 'юмурукъ', 'yumruq', 'yumuruk', 'юмрух'}	DIFFERENT
{'биза'}	{'buzan', 'buzani', 'биза'}	DIFFERENT
{'гъут', 'гъурду', 'гъурд', 'гъуд'}	{'гъурду', 'гъурд', 'гъут', 'хурд', 'худ', 'гъуд'}	DIFFERENT
{'зай', 'за', 'ззай', 'зар'}	{'зар', 'ззай', 'за', 'зай', 'зе'}	DIFFERENT
{'зе'}	{'зар', 'ззай', 'за', 'зай', 'зе'}	DIFFERENT
{'йумругъ'}	{'yumuruq', 'йумругъ', 'юмурукъ', 'yumruq', 'yumuruk', 'юмрух'}	DIFFERENT
{'худ', 'хурд'}	{'гъурду', 'гъурд', 'гъут', 'хурд', 'худ', 'гъуд'}	DIFFERENT
{'I гIур II гIезаб'}		NOT IN LIST 2
{'taheen', 'tihn'}	{'taheen'}	DIFFERENT
{'taheen', 'tihn'}	{'tihn'}	DIFFERENT
{'un', 'ун'}	{'un'}	DIFFERENT
{'азаб'}	{'гIазаб', 'азаб'}	DIFFERENT
{'акъуба'}	{'акъуба', 'гIакъуба'}	DIFFERENT
{'гьат1', 'атI'}	{'аталълъи', 'атI'}	DIFFERENT
{'аталълъи'}	{'аталълъи', 'атI'}	DIFFERENT
{'г1ур'}	{'г1ур', 'гьат1'}	DIFFERENT
{'гIазаб'}	{'гIазаб', 'азаб'}	DIFFERENT
{'гIакъуба'}	{'акъуба', 'гIакъуба'}	DIFFERENT
{'ху1', 'гъу1ль', 'ху', 'х1юр', 'гъуьр', 'хю', 'хюй', 'ху1р', 'хуьр', 'хяй', 'хы1р', 'х1ур'}	{'ху1', 'гъу1ль', 'х1юр', 'гъуьр', 'хю', 'хюй', 'ху1р', 'Дама', 'хуьр', 'хъуь', 'хяй', 'хы1р', 'х1ур'}	DIFFERENT
{'гьат1', 'атI'}	{'г1ур', 'гьат1'}	DIFFERENT
{'Дама'}	{'ху1', 'гъу1ль', 'х1юр', 'гъуьр', 'хю', 'хюй', 'ху1р', 'Дама', 'хуьр', 'хъуь', 'хяй', 'хы1р', 'х1ур'}	DIFFERENT
{'енщур'}	{'енщур', 'энщур', 'ленщур', "къирл1 л'енщур"}	DIFFERENT
{"къирл1 л'енщур", 'ленщур'}	{'енщур', 'энщур', 'ленщур', "къирл1 л'енщур"}	DIFFERENT
{'un', 'ун'}	{'ун'}	DIFFERENT
{'хёй', 'хай'}	{'ху', 'хёй', 'хай'}	DIFFERENT
{'ху1', 'гъу1ль', 'ху', 'х1юр', 'гъуьр', 'хю', 'хюй', 'ху1р', 'хуьр', 'хяй', 'хы1р', 'х1ур'}	{'ху', 'хёй', 'хай'}	DIFFERENT
{'хъуь'}	{'ху1', 'гъу1ль', 'х1юр', 'гъуьр', 'хю', 'хюй', 'ху1р', 'Дама', 'хуьр', 'хъуь', 'хяй', 'хы1р', 'х1ур'}	DIFFERENT
{'энщур'}	{'енщур', 'энщур', 'ленщур', "къирл1 л'енщур"}	DIFFERENT
{"č'ič'ak", 'çiçək malenkij', 'čičaki', 'çiçak', 'çiçək', 'чечек'}	{"č'ič'ak", 'çiçək malenkij', 'čičaki', 'шек', 'çiçak', 'çiçək', 'чечек'}	DIFFERENT
{'diʔi', 'gül'}	{'diʔi'}	DIFFERENT
{'бычIбыр', 'быч1', 'бычI', 'бич1'}	{'бычIбыр', 'бычI', 'пич1', 'бич1', 'быч1'}	DIFFERENT
{'пич1'}	{'бычIбыр', 'бычI', 'пич1', 'бич1', 'быч1'}	DIFFERENT
{'тук'}	{'тук', 'цуьк'}	DIFFERENT
{'цици'}	{'цици', 'ццицци'}	DIFFERENT
{'цуьк'}	{'тук', 'цуьк'}	DIFFERENT
{'ццицци'}	{'цици', 'ццицци'}	DIFFERENT
{'шек'}	{"č'ič'ak", 'çiçək malenkij', 'čičaki', 'шек', 'çiçak', 'çiçək', 'чечек'}	DIFFERENT
{'lapir', 'lepür'}	{'лепуьль подтвердил', 'lepür', 'lapir', 'лепюль', 'лепуьль'}	DIFFERENT
{'къел', 'гёл', 'гел', 'къял'}	{'хьель', 'шил подтвердил', 'шьил', 'хьал', 'хьаIль', 'гёл', 'къял', 'хьел', 'шил', 'хил', 'хьил', 'хылид', 'къел', 'гоьл', 'хьаIл', 'хьыль', 'гел'}	DIFFERENT
{'гов', 'къов'}	{'гов', 'къов', 'гойбы'}	DIFFERENT
{'гойбы'}	{'гов', 'къов', 'гойбы'}	DIFFERENT
{'гоьл'}	{'хьель', 'шил подтвердил', 'шьил', 'хьал', 'хьаIль', 'гёл', 'къял', 'хьел', 'шил', 'хил', 'хьил', 'хылид', 'къел', 'гоьл', 'хьаIл', 'хьыль', 'гел'}	DIFFERENT
{'лишан', 'лышан', 'лишин', 'лишнар', 'ишан'}	{'ишан'}	DIFFERENT
{'лек ишивус', 'лекун ишан'}	{'лек ишивус'}	DIFFERENT
{'лек ишивус', 'лекун ишан'}	{'лишан', 'лышан', 'лишин', 'лишнар', 'лекун ишан'}	DIFFERENT
{'лепуьль подтвердил', 'лепюль', 'лепуьль'}	{'лепуьль подтвердил', 'lepür', 'lapir', 'лепюль', 'лепуьль'}	DIFFERENT
{'лишан', 'лышан', 'лишин', 'лишнар', 'ишан'}	{'лишан', 'лышан', 'лишин', 'лишнар', 'лекун ишан'}	DIFFERENT
{'лугъу'}	{'лугъу', 'РУГЪУ', 'ругъу'}	DIFFERENT
{'РУГЪУ', 'ругъу'}	{'лугъу', 'РУГЪУ', 'ругъу'}	DIFFERENT
{'хил'}	{'хьель', 'шил подтвердил', 'шьил', 'хьал', 'хьаIль', 'гёл', 'къял', 'хьел', 'шил', 'хил', 'хьил', 'хылид', 'къел', 'гоьл', 'хьаIл', 'хьыль', 'гел'}	DIFFERENT
{'хылид'}	{'хьель', 'шил подтвердил', 'шьил', 'хьал', 'хьаIль', 'гёл', 'къял', 'хьел', 'шил', 'хил', 'хьил', 'хылид', 'къел', 'гоьл', 'хьаIл', 'хьыль', 'гел'}	DIFFERENT
{'хьель', 'хьал', 'хьаIль', 'хьел', 'хьил', 'хьаIл', 'хьыль'}	{'хьель', 'шил подтвердил', 'шьил', 'хьал', 'хьаIль', 'гёл', 'къял', 'хьел', 'шил', 'хил', 'хьил', 'хылид', 'къел', 'гоьл', 'хьаIл', 'хьыль', 'гел'}	DIFFERENT
{'шил лишан', 'шил подтвердил', 'шьил', 'шил'}	{'хьель', 'шил подтвердил', 'шьил', 'хьал', 'хьаIль', 'гёл', 'къял', 'хьел', 'шил', 'хил', 'хьил', 'хылид', 'къел', 'гоьл', 'хьаIл', 'хьыль', 'гел'}	DIFFERENT
{'шил лишан', 'шил подтвердил', 'шьил', 'шил'}	{'шил лишан'}	DIFFERENT
{'1ур', 'Iуй'}	{'1ур'}	DIFFERENT
{'1ур', 'Iуй'}	{'Iуй'}	DIFFERENT
{'shakheh'}	{'shauka', 'shakheh'}	DIFFERENT
{'shauka'}	{'shauka', 'shakheh'}	DIFFERENT
{'sino'}	{'sino', 'сино'}	DIFFERENT
{'сино'}	{'sino', 'сино'}	DIFFERENT
{'чиш'}	{'шиши', 'шиш', 'чиш', 'шиш подтвердил'}	DIFFERENT
{'шиши', 'шиш', 'шиш подтвердил'}	{'шиши', 'шиш', 'чиш', 'шиш подтвердил'}	DIFFERENT
{'лъано', 'кьынгери'}	{'кьынгери'}	DIFFERENT
{'лъано', 'кьынгери'}	{'лъано'}	DIFFERENT
{'хибкари'}	{'хьибк1ари', 'хибкари', 'хьиккари'}	DIFFERENT
{'хьибк1ари', 'хьиккари'}	{'хьибк1ари', 'хибкари', 'хьиккари'}	DIFFERENT
{'думт', 'дустт', 'dust', 'дост', 'dost', 'dosti', 'дуст'}	{'дустт', 'dust', 'дост', 'dost', 'dosti', 'дуст'}	DIFFERENT
{'гьудул-гьалмагъ', 'гьудул'}	{'гьудул'}	DIFFERENT
{'гьудул-гьалмагъ', 'гьудул'}		NOT IN LIST 2
{'думт', 'дустт', 'dust', 'дост', 'dost', 'dosti', 'дуст'}	{'думт'}	DIFFERENT
{"baq'aq'i", "baq'aq'"}	{'бакъа', "baq'aq'i", "baq'aq'"}	DIFFERENT
{"dafda'", 'ƛaplaɣe'}	{"dafda'"}	DIFFERENT
{'khorbagheh', 'qurbağa'}	{'къурбагъа', 'кьулбагъа', 'khorbagheh', 'хъулбагъа', 'qurbağa'}	DIFFERENT
{"dafda'", 'ƛaplaɣe'}	{'ƛaplaɣe'}	DIFFERENT
{'бякъячячяй', 'вакlкачачай', 'бакъячячай', 'бякъячачай', 'бакъяцяцай', 'бакъа', 'бякъяцацай', 'бакъачачай', 'вякъячачай', 'бакъа чачай', 'бакъацацай', 'бякъячяй'}	{'бакъа', "baq'aq'i", "baq'aq'"}	DIFFERENT
{'бякъячячяй', 'вакlкачачай', 'бакъячячай', 'бякъячачай', 'бакъяцяцай', 'бакъа', 'бякъяцацай', 'бакъачачай', 'вякъячачай', 'бакъа чачай', 'бакъацацай', 'бякъячяй'}	{'бякъячячяй', 'вакlкачачай', 'бакъячячай', 'бякъячачай', 'бакъяцяцай', 'бякъяцацай', 'бакъачачай', 'вякъячачай', 'бакъа чачай', 'бакъацацай', 'бякъячяй'}	DIFFERENT
{'къиб', 'хы1б', 'г1уб', 'гъы1б', 'г1убатата', 'къюб', 'гIуб', 'гъюб'}	{'гъюбатата', 'гъубабат1ай', 'гъюба бат1а', 'гъубат1ат1а', 'гъаб', 'г1уб', 'гъы1б', 'г1убатата', 'къюб', 'гъюбабата', 'гIуб', 'гъюб', 'г1уванцай'}	DIFFERENT
